n_neighbors,weight,p,time,accuracy
1,distance,1,427.4181010723114,99.43883277216611
1,distance,2,32.497801780700684,99.56833290166624
1,uniform,1,430.2918367385864,99.43883277216611
1,uniform,2,32.10842514038086,99.56833290166624
2,distance,1,427.8879063129425,99.43883277216611
2,distance,2,32.98420333862305,99.56833290166624
2,uniform,1,428.95418882369995,98.89493222826556
2,uniform,2,33.0388867855072,99.11939911939912
3,distance,1,429.11667704582214,99.46473279806614
3,distance,2,34.515315532684326,99.60286626953294
3,uniform,1,430.61883568763733,98.09203142536475
3,uniform,2,38.82553148269653,98.59276525943193
4,distance,1,443.87465596199036,99.46473279806614
4,distance,2,36.62939453125,99.63739963739964
4,uniform,1,433.65439558029175,98.38556505223171
4,uniform,2,40.81895065307617,98.68773202106536
5,distance,1,433.53783082962036,99.4042994042994
5,distance,2,36.16899251937866,99.60286626953294
5,uniform,1,432.7536358833313,98.28196494863161
5,uniform,2,36.31272649765015,98.80859880859882
6,distance,1,433.0470612049103,99.41293274626608
6,distance,2,36.28914189338684,99.55969955969955
6,uniform,1,432.7901360988617,98.0833980833981
6,uniform,2,36.44045948982239,98.74816541483207
7,distance,1,432.793240070343,99.335232668566
7,distance,2,35.86009097099304,99.54243287576621
7,uniform,1,436.4353930950165,97.81576448243115
7,uniform,2,36.28769493103027,98.5668652335319
8,distance,1,434.0150237083435,99.39566606233274
8,distance,2,36.072481632232666,99.58559958559958
8,uniform,1,434.79827857017517,98.07476474143141
8,uniform,2,36.550204277038574,98.670465337132
9,distance,1,439.6608667373657,99.34386601053268
9,distance,2,36.761390924453735,99.57696624363291
9,uniform,1,433.34190487861633,97.93663126996461
9,uniform,2,36.60755515098572,98.5323318656652
