n_neighbors,weight,time,accuracy
1,distance,495.0970413684845,96.61572994906328
1,uniform,484.10100269317627,96.61572994906328
2,distance,486.15264439582825,96.63299663299664
2,uniform,473.97639441490173,93.77536044202711
3,distance,475.99343967437744,96.65889665889665
3,uniform,485.7246961593628,89.57092290425624
4,distance,481.88478660583496,96.65889665889665
4,uniform,485.0436108112335,89.70905637572304
5,distance,483.3087272644043,96.44306310972978
5,uniform,486.4892027378082,89.52775619442286
6,distance,484.3830511569977,96.4689631356298
6,uniform,485.21526169776917,89.0615557282224
7,distance,487.31380820274353,96.33082966416299
7,uniform,491.1066749095917,88.31908831908832
8,distance,489.96942353248596,96.36536303202969
8,uniform,482.96492528915405,88.2931882931883
9,distance,484.2035233974457,96.30492963826298
9,uniform,489.9820730686188,87.88742122075456
